id,name,type,aliases,release_year,param_count_b,context_window_k
o1,o1,Model,OpenAI o1,2024,,
o3_mini,o3-mini,Model,OpenAI o3 mini|o3 mini,2025,,
gpt_4_1,GPT-4.1,Model,GPT-4.1 full|OpenAI GPT-4.1,2025,,1000
gpt_4_1_mini,GPT-4.1 mini,Model,GPT-4.1-mini|OpenAI GPT-4.1 mini,2025,,1000
claude_2,Claude 2,Model,Anthropic Claude 2,2023,,100
claude_2_1,Claude 2.1,Model,Anthropic Claude 2.1,2023,,200
claude_3_opus,Claude 3 Opus,Model,Opus|Claude Opus,2024,,200
claude_3_sonnet,Claude 3 Sonnet,Model,Sonnet|Claude Sonnet,2024,,200
claude_3_haiku,Claude 3 Haiku,Model,Haiku|Claude Haiku,2024,,200
claude_3_5_sonnet,Claude 3.5 Sonnet,Model,Claude 3.5 Sonnet v1|Claude Sonnet 3.5,2024,,200
claude_3_5_haiku,Claude 3.5 Haiku,Model,Claude Haiku 3.5,2024,,200
claude_3_7_sonnet,Claude 3.7 Sonnet,Model,Claude Sonnet 3.7,2025,,200
claude_sonnet_4,Claude Sonnet 4,Model,Sonnet 4,2025,,200
claude_opus_4,Claude Opus 4,Model,Opus 4,2025,,200
gemini_ultra,Gemini Ultra,Model,Gemini 1.0 Ultra|Gemini Ultra 1.0,2023,,
gemini_pro,Gemini Pro,Model,Gemini 1.0 Pro|Gemini Pro 1.0,2023,,
gemini_1_5_pro,Gemini 1.5 Pro,Model,Gemini Pro 1.5,2024,,1000
gemini_1_5_flash,Gemini 1.5 Flash,Model,Gemini Flash 1.5,2024,,1000
gemini_2_0_flash,Gemini 2.0 Flash,Model,Gemini Flash 2.0,2024,,1000
gemini_2_5_pro,Gemini 2.5 Pro,Model,Gemini Pro 2.5,2025,,1000
gemini_2_5_flash,Gemini 2.5 Flash,Model,Gemini Flash 2.5,2025,,1000
gemma_2b,Gemma 2B,Model,Google Gemma 2B,2024,2,
gemma_7b,Gemma 7B,Model,Google Gemma 7B,2024,7,
gemma_2_9b,Gemma 2 9B,Model,Google Gemma 2 9B,2024,9,
gemma_2_27b,Gemma 2 27B,Model,Google Gemma 2 27B,2024,27,
gemma_3_1b,Gemma 3 1B,Model,Google Gemma 3 1B,2025,1,
gemma_3_4b,Gemma 3 4B,Model,Google Gemma 3 4B,2025,4,
gemma_3_12b,Gemma 3 12B,Model,Google Gemma 3 12B,2025,12,
gemma_3_27b,Gemma 3 27B,Model,Google Gemma 3 27B,2025,27,
llama_2_7b,Llama 2 7B,Model,Llama-2-7B|LLaMA 2 7B,2023,7,
llama_2_13b,Llama 2 13B,Model,Llama-2-13B|LLaMA 2 13B,2023,13,
llama_2_70b,Llama 2 70B,Model,Llama-2-70B|LLaMA 2 70B,2023,70,
code_llama_7b,Code Llama 7B,Model,CodeLlama-7B,2023,7,
code_llama_13b,Code Llama 13B,Model,CodeLlama-13B,2023,13,
code_llama_34b,Code Llama 34B,Model,CodeLlama-34B,2023,34,
code_llama_70b,Code Llama 70B,Model,CodeLlama-70B,2024,70,
llama_3_8b,Llama 3 8B,Model,Llama-3-8B|Meta Llama 3 8B,2024,8,
llama_3_70b,Llama 3 70B,Model,Llama-3-70B|Meta Llama 3 70B,2024,70,
llama_3_1_8b,Llama 3.1 8B,Model,Llama-3.1-8B|Meta Llama 3.1 8B,2024,8,
llama_3_1_70b,Llama 3.1 70B,Model,Llama-3.1-70B|Meta Llama 3.1 70B,2024,70,
llama_3_1_405b,Llama 3.1 405B,Model,Llama-3.1-405B|Meta Llama 3.1 405B,2024,405,
llama_3_2_1b,Llama 3.2 1B,Model,Llama-3.2-1B|Meta Llama 3.2 1B,2024,1,
llama_3_2_3b,Llama 3.2 3B,Model,Llama-3.2-3B|Meta Llama 3.2 3B,2024,3,
llama_3_2_11b,Llama 3.2 11B,Model,Llama-3.2-11B|Meta Llama 3.2 11B Vision,2024,11,
llama_3_2_90b,Llama 3.2 90B,Model,Llama-3.2-90B|Meta Llama 3.2 90B Vision,2024,90,
llama_3_3_70b,Llama 3.3 70B,Model,Llama-3.3-70B|Meta Llama 3.3 70B,2024,70,
mistral_7b,Mistral 7B,Model,Mistral-7B,2023,7,
mixtral_8x7b,Mixtral 8x7B,Model,Mixtral-8x7B,2023,46.7,
mixtral_8x22b,Mixtral 8x22B,Model,Mixtral-8x22B,2024,141,
mistral_large,Mistral Large,Model,Mistral Large 1|Mistral Large 2402,2024,,
mistral_nemo,Mistral NeMo,Model,Mistral-Nemo|Mistral NeMo 12B,2024,12,
codestral_22b,Codestral 22B,Model,Codestral-22B,2024,22,
ministral_3b,Ministral 3B,Model,Ministral-3B,2024,3,
ministral_8b,Ministral 8B,Model,Ministral-8B,2024,8,
mistral_small_3_1,Mistral Small 3.1,Model,Mistral Small 3.1 24B,2025,24,
command_r,Command R,Model,Cohere Command R,2024,,
command_r_plus,Command R+,Model,Cohere Command R Plus|Command R Plus,2024,,
aya_23_8b,Aya 23 8B,Model,Cohere Aya 23 8B,2024,8,
aya_23_35b,Aya 23 35B,Model,Cohere Aya 23 35B,2024,35,
aya_expanse_8b,Aya Expanse 8B,Model,Cohere Aya Expanse 8B,2024,8,
aya_expanse_32b,Aya Expanse 32B,Model,Cohere Aya Expanse 32B,2024,32,
command_a,Command A,Model,Cohere Command A,2025,111,
qwen_7b,Qwen-7B,Model,Qwen 7B|Tongyi Qianwen 7B,2023,7,
qwen_14b,Qwen-14B,Model,Qwen 14B|Tongyi Qianwen 14B,2023,14,
qwen_72b,Qwen-72B,Model,Qwen 72B|Tongyi Qianwen 72B,2023,72,
qwen1_5_7b,Qwen1.5-7B,Model,Qwen 1.5 7B,2024,7,
qwen1_5_32b,Qwen1.5-32B,Model,Qwen 1.5 32B,2024,32,
qwen1_5_72b,Qwen1.5-72B,Model,Qwen 1.5 72B,2024,72,
qwen1_5_110b,Qwen1.5-110B,Model,Qwen 1.5 110B,2024,110,
qwen2_7b,Qwen2-7B,Model,Qwen 2 7B,2024,7,
qwen2_72b,Qwen2-72B,Model,Qwen 2 72B,2024,72,
qwen2_5_7b,Qwen2.5-7B,Model,Qwen 2.5 7B,2024,7,
qwen2_5_14b,Qwen2.5-14B,Model,Qwen 2.5 14B,2024,14,
qwen2_5_32b,Qwen2.5-32B,Model,Qwen 2.5 32B,2024,32,
qwen2_5_72b,Qwen2.5-72B,Model,Qwen 2.5 72B,2024,72,
qwq_32b_preview,QwQ-32B-Preview,Model,QwQ 32B Preview,2024,32,
qwen3_32b,Qwen3-32B,Model,Qwen 3 32B,2025,32,
deepseek_coder_6_7b,DeepSeek-Coder 6.7B,Model,DeepSeek Coder 6.7B,2023,6.7,
deepseek_coder_33b,DeepSeek-Coder 33B,Model,DeepSeek Coder 33B,2023,33,
deepseek_llm_7b,DeepSeek LLM 7B,Model,DeepSeek-LLM-7B,2023,7,
deepseek_llm_67b,DeepSeek LLM 67B,Model,DeepSeek-LLM-67B,2023,67,
deepseek_v2,DeepSeek-V2,Model,DeepSeek V2,2024,236,
deepseek_v3,DeepSeek-V3,Model,DeepSeek V3,2024,671,
deepseek_r1,DeepSeek-R1,Model,DeepSeek R1,2025,671,
jamba,Jamba,Model,AI21 Jamba,2024,52,
jamba_1_5_mini,Jamba 1.5 Mini,Model,AI21 Jamba 1.5 Mini,2024,12,
jamba_1_5_large,Jamba 1.5 Large,Model,AI21 Jamba 1.5 Large,2024,94,
falcon_40b,Falcon 40B,Model,Falcon-40B,2023,40,
falcon_180b,Falcon 180B,Model,Falcon-180B,2023,180,
falcon_2_11b,Falcon 2 11B,Model,Falcon2-11B,2024,11,
falcon_2_11b_vlm,Falcon 2 11B VLM,Model,Falcon2-11B-VLM,2024,11,
olmo_7b,OLMo 7B,Model,OLMo-7B,2024,7,
olmo_2_7b,OLMo 2 7B,Model,OLMo-2-7B,2024,7,
olmo_2_13b,OLMo 2 13B,Model,OLMo-2-13B,2024,13,
dbrx,DBRX,Model,Databricks DBRX,2024,132,
yi_6b,Yi-6B,Model,Yi 6B,2023,6,
yi_34b,Yi-34B,Model,Yi 34B,2023,34,
yi_1_5_34b,Yi-1.5-34B,Model,Yi 1.5 34B,2024,34,
gpt4_technical_report,GPT-4 Technical Report,Paper,GPT-4 paper,2023,,
llama_paper,LLaMA Open and Efficient Foundation Language Models,Paper,LLaMA paper,2023,,
llama2_paper,Llama 2 Open Foundation and Fine-Tuned Chat Models,Paper,Llama 2 paper,2023,,
mistral_7b_paper,Mistral 7B Paper,Paper,Mistral 7B technical report,2023,,
mixtral_paper,Mixtral of Experts,Paper,Mixtral paper,2024,,
hugo_touvron,Hugo Touvron,Person,,,,
thibaut_lavril,Thibaut Lavril,Person,,,,
timothee_lacroix,Timothee Lacroix,Person,,,,
guillaume_lample,Guillaume Lample,Person,,,,
louis_martin,Louis Martin,Person,,,,
kevin_stone,Kevin Stone,Person,,,,
peter_albert,Peter Albert,Person,,,,
albert_q_jiang,Albert Q. Jiang,Person,,,,
alexandre_sablayrolles,Alexandre Sablayrolles,Person,,,,
arthur_mensch,Arthur Mensch,Person,,,,
